5.439,0.719,5.113,0.42,80,400,10
5.945,1.235,4.856,0.589,80,400,10
3.351,0.206,3.473,0.295,80,400,10
4.41,0.607,4.383,0.403,80,400,10
3.921,0.266,3.83,0.256,80,400,10
3.46,0.3,3.629,0.308,80,400,10
3.65,0.241,3.615,0.242,80,400,10
4.253,0.509,3.908,0.271,80,400,10
3.754,0.443,4.179,0.46,80,400,10
3.888,0.283,3.604,0.218,80,400,10
5.141,0.52,4.714,0.21,80,400,10
3.863,0.307,3.746,0.259,80,400,10
4.153,0.28,3.99,0.236,80,400,10
4.382,0.617,4.215,0.377,80,400,10
4.032,0.505,4.102,0.286,80,400,10
4.351,0.412,4.268,0.278,80,400,10
3.941,0.265,3.916,0.264,80,400,10
5.441,0.893,4.178,0.397,80,400,10
4.496,0.458,3.884,0.289,80,400,10
4.229,0.286,4.092,0.223,80,400,10
